,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
0,albany,40,US,1587837495,25,42.6,-73.97,64,4.7
1,vanimo,38,PG,1587837497,83,-2.67,141.3,79.65,5.75
2,iqaluit,90,CA,1587837498,92,63.75,-68.51,32,11.41
3,port alfred,31,ZA,1587837499,91,-33.59,26.89,61,4
4,belushya guba,63,RU,1587837500,51,59.7,30.79,37.99,11.18
5,nikolskoye,30,GB,1587837420,52,51.48,-3.18,64.99,3.36
6,cardiff,1,US,1587837205,43,36.12,-97.06,70,16.11
7,stillwater,84,GH,1587837504,81,4.88,-1.76,82.04,11.77
8,takoradi,30,RU,1587837506,32,48.71,45.2,55.4,11.18
9,leninsk,40,AR,1587837507,64,-54.8,-68.3,39.2,3.85
10,ushuaia,75,CA,1587837508,55,55.74,-97.86,39.2,4.7
11,thompson,91,AU,1587837509,59,-24.87,113.63,76.6,14.5
12,carnarvon,20,CA,1587837510,55,65.28,-126.83,6.8,4.7
13,norman wells,72,BR,1587837511,63,-7.23,-44.56,84.51,9.57
14,urucui,92,NZ,1587837512,69,-46.19,168.86,50,8.01
15,mataura,20,GH,1587837513,74,5.79,0.9,86,16.11
16,anloga,53,AU,1587837515,39,-25.24,130.99,80.6,20.8
17,yulara,90,CA,1587837516,66,62.46,-114.35,12.2,13.87
18,nizhneyansk,100,RU,1587837517,96,71.97,102.5,20.57,13.8
19,yellowknife,40,US,1587837519,59,39.45,-86.18,66.99,11.41
20,khatanga,1,US,1587837229,50,42.1,-79.24,55.4,4.7
21,bud,92,NC,1587837521,61,-22.67,167.48,73.58,14.65
22,jamestown,76,NZ,1587837522,79,-46.28,169.85,48.99,11.1
23,vao,88,MV,1587837524,72,-0.6,73.08,84.7,8.66
24,kaitangata,0,AE,1587837285,55,24.47,54.37,91.4,1.12
25,bargal,40,EC,1587837527,66,-0.74,-90.35,86,20.8
26,hithadhoo,40,US,1587837499,52,39.18,-84.53,69.01,11.41
27,abu dhabi,70,AR,1587837429,54,-33.3,-66.34,69.26,9.53
28,puerto ayora,100,CL,1587837531,85,-37.62,-73.65,58.87,15.55
29,hamilton,40,HK,1587837425,68,22.29,114.16,71.6,3.36
30,san luis,99,ID,1587837533,81,-3.8,102.27,78.76,3.85
31,grand river south east,75,ES,1587837399,60,28.66,-17.92,68,12.75
32,lebu,54,LR,1587837535,76,6.75,-11.37,83.12,9.69
33,victoria,18,MV,1587837537,69,3.78,72.97,84.87,5.77
34,bengkulu,78,MX,1587837538,62,23.17,-97.95,91,5.99
35,los llanos de aridane,51,CL,1587837539,60,-53.15,-70.92,45.1,12.03
36,robertsport,1,US,1587837540,50,36.57,-119.61,79,0.51
37,mahibadhoo,17,CA,1587837542,38,46.7,-75.45,53.49,1.32
38,nuevo progreso,100,NO,1587837295,97,70.03,20.97,32.4,21.23
39,punta arenas,75,US,1587837544,83,22.08,-159.32,75.2,11.41
40,selma,0,TC,1587837275,79,21.46,-71.14,79.7,18.1
41,ferme-neuve,10,GL,1587837547,85,72.79,-56.15,34.52,2.24
42,bababe,75,US,1587837548,59,39.77,-86.16,68,17.22
43,skjervoy,98,NA,1587837549,19,-22.45,18.97,74.14,10.71
44,kapaa,20,PT,1587837550,82,37.72,-25.43,62.6,16.11
45,cockburn town,90,MD,1587837512,72,47.01,28.86,66.2,9.17
46,upernavik,5,AU,1587837553,67,-33.65,115.33,55.99,7.78
47,marion,71,PH,1587837554,78,6.37,126.17,82.04,12.19
48,gobabis,55,BR,1587837555,79,-6.22,-57.75,83.66,3.15
49,vila franca do campo,20,MX,1587837338,22,22.89,-109.91,89.6,6.93
50,chisinau,2,ZA,1587837558,77,-34.53,20.04,64.4,12.75
51,busselton,13,PF,1587837559,79,-23.12,-134.97,76.03,13.69
52,pundaguitan,20,GL,1587837560,44,65.61,-37.64,41,18.34
53,jacareacanga,93,KG,1587837561,26,41.17,75.81,52,7.31
54,cabo san lucas,95,NO,1587837562,81,64.07,11.22,42.8,20.8
55,burica,20,JP,1587837563,66,35.73,140.83,55.99,5.82
56,bredasdorp,99,NO,1587837565,75,62.65,8.72,42.8,13.87
57,rikitea,1,US,1587837433,32,64.84,-147.72,30,13.87
58,tasiilaq,86,MA,1587837567,64,29.58,-9.5,56.97,14.54
59,at-bashi,0,RU,1587837568,93,58.96,126.29,28.31,2.26
60,malm,11,ZA,1587837569,82,-33.92,25.57,64.4,10.29
61,hasaki,63,ZA,1587837571,30,-26.15,26.16,59.04,3.4
62,vaitupu,10,PF,1587837572,73,-16.48,-151.75,81.66,8.63
63,groa,11,BR,1587837550,36,-24.79,-50.01,77.7,4.68
64,fairbanks,71,RU,1587837574,89,61.95,159.23,24.46,5.7
65,tiznit,20,PT,1587837575,52,32.67,-17.1,68,5.82
66,tommot,27,SB,1587837576,76,-8.77,160.7,81.1,3.62
67,port elizabeth,85,PH,1587837578,86,8,123.27,68.07,1.88
68,lichtenburg,20,US,1587837579,60,37.46,-122.43,77,3.36
69,faanui,40,US,1587837580,73,19.73,-155.09,72,5.82
70,castro,21,RU,1587837581,91,69.3,139.9,12.78,2.98
71,evensk,100,KI,1587837582,83,3.07,172.79,80.78,13.91
72,ponta do sol,7,SA,1587837584,60,18.39,42.45,71.6,6.93
73,auki,100,ID,1587837585,83,-6.54,111.05,79.77,6.4
74,midsalip,5,MX,1587837586,65,15.85,-97.07,82.4,8.05
75,half moon bay,98,AU,1587837587,74,-42.78,147.06,59,1.99
76,hilo,0,ZA,1587837464,77,-33.93,18.42,68,11.41
77,deputatskiy,95,RU,1587837590,87,59.02,54.66,33.15,6.67
78,butaritari,82,NZ,1587837591,69,-46.13,167.68,50,8.01
79,faya,75,MX,1587837560,47,21.28,-89.67,100.99,6.93
80,tayu,40,MY,1587837593,94,5.41,100.34,78.8,1.7
81,puerto escondido,0,ZA,1587837594,61,-34.42,19.23,71.01,14.97
82,new norfolk,8,NZ,1587837596,93,-35.1,173.78,55,3
83,cape town,1,US,1587837448,77,71.29,-156.79,-0.4,12.75
84,kudymkar,95,RU,1587837598,81,43.3,44.9,48.2,8.95
85,tuatapere,74,GL,1587837599,86,77.48,-69.36,33.08,4.65
86,progreso,99,RU,1587837600,97,66.77,123.37,30,18.86
87,doctor pedro p. pena,75,PT,1587837602,77,41.54,-8.62,61,6.93
88,georgetown,1,RU,1587837603,88,65.58,-171,20.8,1.45
89,hermanus,20,PT,1587837605,82,37.73,-25.67,62.6,16.11
90,kaeo,75,US,1587837425,59,37.77,-122.42,73,6.93
91,barrow,100,ES,1587837607,84,43.27,-7.54,63,4
92,karabulak,40,DZ,1587837350,77,36.26,2.75,66.2,8.05
93,qaanaaq,1,US,1587837610,31,37.68,-113.06,60.8,4.7
94,zhigansk,100,UY,1587837612,56,-33.7,-53.46,76.66,7.92
95,barcelos,77,MX,1587837508,30,19.93,-105.25,86.86,6.58
96,lavrentiya,75,US,1587837615,51,41.37,-73.41,64,4.7
97,ponta delgada,75,AU,1587837616,71,-42.88,147.33,61,4.7
98,san francisco,27,CV,1587837617,76,14.9,-24.5,71.2,20.13
99,bereda,100,ID,1587837332,81,5.56,95.32,79.84,5.97
100,medea,26,JP,1587837620,40,34.69,135.8,55,6.04
101,cedar city,39,PT,1587837621,73,39.05,-27.98,58.3,25.26
102,chuy,0,AU,1587837622,77,-23.53,148.17,62.6,5.26
103,taolanaro,3,CN,1587837623,37,43.65,111.98,42.93,11.45
104,tomatlan,2,RU,1587837625,92,60.47,166.1,11.17,4.85
105,bethel,96,RU,1587837626,97,68.05,39.51,30.18,7.2
106,sentyabrskiy,100,ID,1587837627,72,-0.87,134.08,80.96,5.35
107,hobart,75,TO,1587837628,94,-21.2,-175.2,75.2,10.29
108,sao filipe,100,RU,1587837630,45,53.34,58.51,44.6,15.66
109,banda aceh,16,MV,1587837631,74,6.15,73.27,85.44,5.73
110,nara,63,AO,1587837632,83,-11.21,13.84,78.17,4.29
111,lagoa,100,JP,1587837633,86,24.8,125.28,71.78,14.07
112,emerald,40,LR,1587837635,66,5.88,-10.05,87.8,9.17
113,erenhot,16,PF,1587837636,75,-16.7,-151.02,82.06,10.16
114,tilichiki,40,PF,1587837637,78,-17.53,-149.33,78.8,3.36
115,ostrovnoy,99,RU,1587837638,45,53.42,59.05,44.6,15.66
116,manokwari,0,MX,1587837640,44,30.48,-115.95,76.33,6.62
117,vaini,1,US,1587837460,77,36.62,-121.92,75.99,6.93
118,askarovo,75,AR,1587837537,63,-38,-57.56,66,16.11
119,funadhoo,90,US,1587837458,87,57.79,-152.41,42.8,11.41
120,sumbe,0,LY,1587837552,69,32.12,20.07,64.38,6.33
121,hirara,0,BR,1587837645,65,-22.97,-42.03,82.4,16.11
122,buchanan,48,CK,1587837556,100,-21.21,-159.78,71.6,1.12
123,fare,20,RO,1587837649,24,46.95,27.7,68,9.17
124,saleaula,0,PE,1587837650,83,-13.7,-76.22,73,10.29
125,tiarei,95,RU,1587837651,85,61.28,108.01,46.27,7.78
126,magnitogorsk,75,IE,1587837652,52,52.86,-8.2,66.2,3.36
127,san quintin,20,IR,1587837422,42,29.6,52.54,66.2,5.55
128,pacific grove,65,GF,1587837654,86,3.17,-52.32,82.22,4.23
129,mar del plata,100,LR,1587837656,78,4.38,-7.72,82.65,9.01
130,kodiak,0,DE,1587837657,39,49.32,7.1,62.6,6.93
131,benghazi,5,MX,1587837659,65,15.74,-96.47,82.4,8.05
132,arraial do cabo,0,CL,1587837599,59,-33.04,-71.63,67.24,8.01
133,illoqqortoormiut,40,IL,1587837425,68,31.61,34.76,64.99,12.75
134,avarua,75,MA,1587837458,55,31.63,-8.01,66.2,8.05
135,dobrovat,29,PF,1587837664,80,-9.8,-139.03,81.54,16.64
136,pisco,75,CA,1587837525,87,48.93,-125.55,53.01,11.41
137,yerbogachen,100,RU,1587837666,80,54.48,53.47,48.65,14.2
138,nenagh,81,FO,1587837667,75,62.16,-7.17,44.6,10.29
139,shiraz,38,BR,1587837668,60,-2.1,-56.49,89.46,1.92
140,camopi,100,RU,1587837670,92,55.41,42.53,40.86,0.98
141,harper,99,RU,1587837671,97,63.05,179.32,20.46,6.26
142,friedrichsthal,40,BR,1587837672,52,-30.18,-50.21,78.89,2.59
143,pochutla,61,RU,1587837673,95,50.68,156.12,31.15,12.01
144,valparaiso,37,RU,1587837675,94,65.7,82.47,27.68,16.46
145,gat,1,US,1587837676,63,39.56,-95.12,64.99,14.99
146,marrakesh,0,GR,1587837470,72,36.44,28.22,63,20.8
147,atuona,49,IN,1587837679,33,15.42,77.88,90.09,9.35
148,ucluelet,99,RU,1587837680,96,65.44,52.15,29.73,6.49
149,oktyabrskiy,0,NL,1587837674,66,51.81,4.67,55.99,10.29
150,vestmanna,0,SJ,1587837683,53,78.22,15.64,21.2,4.7
151,terra santa,81,AU,1587837684,27,-31.95,141.43,73.4,17.22
152,kulebaki,100,TZ,1587837685,78,-4.97,39.83,83.32,12.82
153,beringovskiy,75,AR,1587837687,71,-41.15,-71.31,53.6,6.93
154,tawkar,1,US,1587837688,46,38.42,-121.42,79,4.7
155,cidreira,48,AU,1587837689,93,-33.87,121.9,55.4,4.7
156,severo-kurilsk,95,PG,1587837691,75,-2.57,150.8,84.6,13.49
157,satitoa,57,NE,1587837692,7,18.74,7.39,98.98,7.11
158,krasnoselkup,2,VE,1587837693,66,11.66,-70.22,83.86,29.19
159,atchison,7,RE,1587837694,83,-21.36,55.77,77,3.36
160,rodos,100,NO,1587837696,92,70.37,31.11,33.15,27.51
161,amderma,20,KR,1587837697,76,35.24,129.21,55.4,8.05
162,dhone,15,YT,1587837698,70,-12.79,45.27,84.2,6.93
163,ust-tsilma,13,VE,1587837699,42,9.04,-69.74,92.73,4.94
164,dordrecht,100,RU,1587837701,95,71.92,114.08,33.8,7.52
165,longyearbyen,40,US,1587837474,68,37.99,-84.48,66,5.82
166,broken hill,89,NZ,1587837703,68,-46.6,168.33,51.01,10
167,micheweni,40,CO,1587837705,61,4.24,-75.24,82.4,2.46
168,san carlos de bariloche,40,CA,1587837706,28,48.38,-77.23,42.8,5.82
169,laguna,72,NO,1587837708,74,67.67,12.69,38.28,18.19
170,esperance,0,KZ,1587837709,55,52.63,70.42,44.38,5.32
171,kavieng,75,IS,1587837710,61,63.84,-22.43,48.2,3.36
172,arlit,9,AO,1587837711,32,-17.07,15.73,72.18,4.14
173,punta cardon,0,ZA,1587837713,49,-33.01,17.94,69.8,6.93
174,saint-philippe,64,NA,1587837714,18,-24.13,19.12,74.62,5.1
175,vardo,46,PF,1587837715,78,-22.43,-151.33,78.96,12.88
176,kijang,61,CD,1587837716,64,2.15,21.52,79.56,2.28
