,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
0,saskylakh,73,RU,1587790488,97,71.92,114.08,35.91,12.86
1,hobyo,100,SO,1587790489,61,5.35,48.53,86.45,2.82
2,hilo,40,US,1587790490,57,19.73,-155.09,78.8,4.7
3,bereda,91,ES,1587790491,100,43.27,-7.54,57.99,0.13
4,port blair,43,IN,1587790492,74,11.67,92.75,85.26,6.46
5,punta arenas,59,CL,1587790447,64,-53.15,-70.92,39,11.99
6,ilulissat,0,GL,1587790494,44,69.22,-51.1,41,24.16
7,port hedland,1,AU,1587790496,37,-20.32,118.57,102.2,12.75
8,krasnyy yar,0,RU,1587790497,50,46.53,48.35,55.4,13.42
9,guerrero negro,72,MX,1587790498,68,27.98,-114.06,67.51,8.66
10,alice springs,,,,,,,,
11,aksarka,,,,,,,,
12,kirakira,,,,,,,,
13,norman wells,,,,,,,,
14,chuy,,,,,,,,
15,petropavlovsk-kamchatskiy,,,,,,,,
16,north branch,,,,,,,,
17,jamestown,,,,,,,,
18,ponta do sol,,,,,,,,
19,vaini,,,,,,,,
20,aklavik,,,,,,,,
21,busselton,,,,,,,,
22,nouadhibou,,,,,,,,
23,djenne,,,,,,,,
24,kapaa,,,,,,,,
25,thompson,,,,,,,,
26,rikitea,,,,,,,,
27,illoqqortoormiut,,,,,,,,
28,umzimvubu,,,,,,,,
29,ushuaia,,,,,,,,
30,qaanaaq,,,,,,,,
31,porto novo,,,,,,,,
32,provideniya,,,,,,,,
33,sentyabrskiy,,,,,,,,
34,tsihombe,,,,,,,,
35,mahebourg,,,,,,,,
36,itoman,,,,,,,,
37,bakchar,,,,,,,,
38,chimoio,,,,,,,,
39,constitucion,,,,,,,,
40,san-pedro,,,,,,,,
41,ancud,,,,,,,,
42,abu samrah,,,,,,,,
43,kolpashevo,,,,,,,,
44,erenhot,,,,,,,,
45,talcahuano,,,,,,,,
46,le port,,,,,,,,
47,bredasdorp,,,,,,,,
48,kruisfontein,,,,,,,,
49,oranjemund,,,,,,,,
50,bria,,,,,,,,
51,bluff,,,,,,,,
52,charters towers,,,,,,,,
53,okitipupa,,,,,,,,
54,albany,,,,,,,,
55,half moon bay,,,,,,,,
56,autun,,,,,,,,
57,tessalit,,,,,,,,
58,bambous virieux,,,,,,,,
59,hermanus,,,,,,,,
60,faanui,,,,,,,,
61,mataura,,,,,,,,
62,boden,,,,,,,,
63,terre haute,,,,,,,,
64,balkanabat,,,,,,,,
65,hobart,,,,,,,,
66,goshogawara,,,,,,,,
67,katsuura,,,,,,,,
68,tasiilaq,,,,,,,,
69,martapura,,,,,,,,
70,butaritari,,,,,,,,
71,imeni poliny osipenko,,,,,,,,
72,kimbe,,,,,,,,
73,lompoc,,,,,,,,
74,turukhansk,,,,,,,,
75,vostok,,,,,,,,
76,guangyuan,,,,,,,,
77,new norfolk,,,,,,,,
78,kahului,,,,,,,,
79,chokurdakh,,,,,,,,
80,fairbanks,,,,,,,,
81,chateau-thierry,,,,,,,,
82,cap malheureux,,,,,,,,
83,rorvik,,,,,,,,
84,purranque,,,,,,,,
85,amderma,,,,,,,,
86,bethel,,,,,,,,
87,puerto ayora,,,,,,,,
88,walvis bay,,,,,,,,
89,dalaba,,,,,,,,
90,cumaribo,,,,,,,,
91,berberati,,,,,,,,
92,atuona,,,,,,,,
93,touros,,,,,,,,
94,tumannyy,,,,,,,,
95,mount isa,,,,,,,,
96,cape town,,,,,,,,
97,omboue,,,,,,,,
98,marcona,,,,,,,,
99,cherskiy,,,,,,,,
100,upernavik,,,,,,,,
101,port lincoln,,,,,,,,
102,tual,,,,,,,,
103,tres picos,,,,,,,,
104,codrington,,,,,,,,
105,barentsburg,,,,,,,,
106,east london,,,,,,,,
107,gushikawa,,,,,,,,
108,port alfred,,,,,,,,
109,camocim,,,,,,,,
110,samarai,,,,,,,,
111,esperance,,,,,,,,
112,umm durman,,,,,,,,
113,birganj,,,,,,,,
114,tukrah,,,,,,,,
115,baherden,,,,,,,,
116,elat,,,,,,,,
117,lebu,,,,,,,,
118,cockburn town,,,,,,,,
119,ribeira grande,,,,,,,,
120,hasaki,,,,,,,,
121,aberdeen,,,,,,,,
122,sorland,,,,,,,,
123,frutal,,,,,,,,
124,neryungri,,,,,,,,
125,lamar,,,,,,,,
126,mys shmidta,,,,,,,,
127,haines junction,,,,,,,,
128,revda,,,,,,,,
129,davila,,,,,,,,
130,boguchany,,,,,,,,
131,souillac,,,,,,,,
132,louisbourg,,,,,,,,
133,georgetown,,,,,,,,
134,buala,,,,,,,,
135,hovd,,,,,,,,
136,samusu,,,,,,,,
137,norwalk,,,,,,,,
138,cabo san lucas,,,,,,,,
139,gazojak,,,,,,,,
140,povenets,,,,,,,,
141,kenai,,,,,,,,
142,linxia,,,,,,,,
143,ondjiva,,,,,,,,
144,wlodawa,,,,,,,,
145,udachnyy,,,,,,,,
146,taolanaro,,,,,,,,
147,macau,,,,,,,,
148,torbay,,,,,,,,
149,awbari,,,,,,,,
150,zyryanka,,,,,,,,
151,tromso,,,,,,,,
152,zelenoborsk,,,,,,,,
153,namibe,,,,,,,,
154,sibu,,,,,,,,
155,kashi,,,,,,,,
156,ayios nikolaos,,,,,,,,
157,ixtapa,,,,,,,,
158,severo-kurilsk,,,,,,,,
159,biak,,,,,,,,
160,attawapiskat,,,,,,,,
161,pochutla,,,,,,,,
162,ahmadpur east,,,,,,,,
163,saint-augustin,,,,,,,,
164,nuuk,,,,,,,,
165,mugur-aksy,,,,,,,,
166,dickinson,,,,,,,,
167,nara,,,,,,,,
168,cabedelo,,,,,,,,
169,bela,,,,,,,,
170,menongue,,,,,,,,
171,santona,,,,,,,,
172,port elizabeth,,,,,,,,
173,kabale,,,,,,,,
174,hambantota,,,,,,,,
175,grindavik,,,,,,,,
176,portland,,,,,,,,
177,castro,,,,,,,,
178,bolungarvik,,,,,,,,
179,grand-santi,,,,,,,,
180,berlevag,,,,,,,,
